epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,750.862,0.62548,0.87919,0.50682,0.87185,0.89837,0.88723,0.93599,0.80863,0.89894,0.89591,0.93675,0.79214,0.5748,0.81136,0.44872,0.85377,0.00134794,0.00134794,0.00134794
31,783.768,0.60574,0.88296,0.49273,0.86828,0.96598,0.84432,0.92846,0.80795,0.97022,0.8478,0.92539,0.79793,0.56876,0.81309,0.48055,0.85584,0.00133693,0.00133693,0.00133693
32,812.878,0.61674,0.87261,0.50355,0.87143,0.97084,0.86245,0.94365,0.81858,0.97084,0.86245,0.9424,0.7889,0.55352,0.7978,0.4469,0.85082,0.00132593,0.00132593,0.00132593
33,840.273,0.61973,0.87298,0.49472,0.8708,0.96607,0.84682,0.93499,0.80702,0.96607,0.84682,0.92829,0.80635,0.58348,0.82548,0.48795,0.8605,0.00131493,0.00131493,0.00131493
34,868.843,0.61796,0.88951,0.48633,0.86686,0.95767,0.86617,0.93932,0.8083,0.95935,0.87732,0.94659,0.79817,0.58007,0.79221,0.43935,0.86149,0.00130393,0.00130393,0.00130393
35,903.129,0.59381,0.81027,0.46851,0.85465,0.93278,0.87691,0.93777,0.81174,0.93273,0.87631,0.93613,0.79771,0.57004,0.80818,0.45572,0.85973,0.00129293,0.00129293,0.00129293
36,940.384,0.64486,0.88538,0.48044,0.87439,0.96804,0.84015,0.93979,0.81678,0.94999,0.85874,0.93835,0.79837,0.56605,0.83995,0.44497,0.85765,0.00128192,0.00128192,0.00128192
37,975.113,0.60889,0.93458,0.48395,0.87058,0.92174,0.88848,0.94595,0.82412,0.95539,0.85502,0.94431,0.82187,0.55533,0.79868,0.45466,0.85013,0.00127092,0.00127092,0.00127092
38,1013.24,0.61502,0.87028,0.49205,0.8664,0.95861,0.86245,0.94632,0.829,0.95861,0.86245,0.94494,0.82368,0.54246,0.8015,0.45352,0.84391,0.00125992,0.00125992,0.00125992
39,1044.02,0.59553,0.85423,0.48359,0.86516,0.96319,0.87555,0.93999,0.80971,0.96861,0.87361,0.93758,0.77343,0.56551,0.85021,0.4417,0.85357,0.00124892,0.00124892,0.00124892
40,1076.48,0.61039,0.84462,0.48704,0.8618,0.96256,0.86008,0.94184,0.81238,0.96256,0.86008,0.94159,0.80502,0.58234,0.80775,0.45946,0.86126,0.00123791,0.00123791,0.00123791
41,1107.02,0.60769,0.87547,0.47438,0.86073,0.95475,0.8628,0.94275,0.82016,0.95886,0.86651,0.9421,0.79371,0.55497,0.76742,0.42827,0.85303,0.00122691,0.00122691,0.00122691
42,1137.09,0.58396,0.79034,0.4629,0.86013,0.90884,0.88948,0.93996,0.82283,0.90884,0.88948,0.93599,0.7962,0.5358,0.77269,0.46649,0.84702,0.00121591,0.00121591,0.00121591
