epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,3243.93,0.47446,0.64047,0.33681,0.83219,0.95116,0.86886,0.93536,0.8415,0.96403,0.85874,0.93771,0.83464,0.48809,0.74093,0.41464,0.83594,0.00036874,0.00036874,0.00036874
120,3270.55,0.48927,0.66815,0.33284,0.82859,0.94349,0.85874,0.93133,0.84146,0.95002,0.86245,0.93344,0.83743,0.48747,0.75643,0.44097,0.83672,0.000357738,0.000357738,0.000357738
121,3300.64,0.48525,0.65401,0.33229,0.83017,0.94963,0.88104,0.93616,0.84388,0.95047,0.87361,0.93827,0.84075,0.49387,0.7542,0.40934,0.83661,0.000346736,0.000346736,0.000346736
122,3329.44,0.4784,0.66034,0.33713,0.82877,0.95086,0.86315,0.92862,0.84531,0.95412,0.85032,0.92872,0.83833,0.48393,0.74384,0.45147,0.83319,0.000335734,0.000335734,0.000335734
123,3353.27,0.46413,0.6363,0.32104,0.82945,0.92932,0.86617,0.93099,0.85019,0.97007,0.84356,0.93471,0.84576,0.48041,0.74859,0.45241,0.83312,0.000324732,0.000324732,0.000324732
124,3376.99,0.48716,0.66917,0.33535,0.82709,0.94368,0.85874,0.93241,0.85048,0.94582,0.85874,0.93435,0.84402,0.48357,0.77687,0.45978,0.83702,0.000313729,0.000313729,0.000313729
125,3402.12,0.46385,0.64088,0.32448,0.82719,0.9454,0.83677,0.92164,0.84177,0.9454,0.83677,0.92288,0.83823,0.48565,0.77179,0.52728,0.83625,0.000302727,0.000302727,0.000302727
126,3425.81,0.47396,0.6181,0.32678,0.82636,0.92191,0.87361,0.93145,0.83668,0.94595,0.84583,0.92926,0.83042,0.49742,0.78259,0.42087,0.84109,0.000291725,0.000291725,0.000291725
127,3448.54,0.48913,0.65877,0.33339,0.832,0.94994,0.84655,0.92208,0.83983,0.94994,0.84655,0.92483,0.83543,0.49394,0.77104,0.4564,0.83962,0.000280723,0.000280723,0.000280723
128,3471.7,0.47566,0.66392,0.33223,0.82647,0.94544,0.85502,0.92172,0.84263,0.95236,0.85502,0.92684,0.84115,0.47666,0.74207,0.47054,0.83307,0.000269721,0.000269721,0.000269721
129,3494.59,0.48876,0.66127,0.33083,0.82882,0.95326,0.85874,0.92947,0.84492,0.95832,0.85473,0.92879,0.84441,0.48602,0.74335,0.44005,0.83793,0.000258718,0.000258718,0.000258718
130,3518.48,0.48327,0.64295,0.32771,0.82628,0.96918,0.84387,0.93176,0.84216,0.96491,0.84015,0.9291,0.83623,0.48665,0.74678,0.42857,0.83747,0.000247716,0.000247716,0.000247716
131,3542.02,0.476,0.65513,0.32805,0.82613,0.94945,0.83791,0.92734,0.84755,0.95366,0.84162,0.92842,0.83953,0.48827,0.75127,0.49003,0.83998,0.000236714,0.000236714,0.000236714
132,3565.14,0.46054,0.61791,0.32185,0.82697,0.93199,0.87732,0.93817,0.84208,0.93199,0.87732,0.9359,0.84909,0.50736,0.75988,0.43733,0.84386,0.000225712,0.000225712,0.000225712
133,3588.13,0.46275,0.63536,0.31691,0.82915,0.96337,0.84758,0.93269,0.84815,0.96759,0.8513,0.9343,0.84634,0.48971,0.75872,0.46522,0.83784,0.00021471,0.00021471,0.00021471
134,3622.96,0.46928,0.66551,0.32046,0.82434,0.94277,0.85736,0.92738,0.84919,0.94683,0.86064,0.93206,0.84656,0.49067,0.75487,0.47054,0.84064,0.000203707,0.000203707,0.000203707
135,3654.06,0.46652,0.63797,0.31758,0.83204,0.95189,0.84758,0.92859,0.8435,0.95189,0.84758,0.9283,0.84363,0.48928,0.76628,0.48655,0.84019,0.000192705,0.000192705,0.000192705
136,3680.43,0.47707,0.65006,0.3251,0.8313,0.9656,0.84387,0.93068,0.84005,0.97021,0.84743,0.93311,0.84023,0.49932,0.7653,0.44695,0.84398,0.000181703,0.000181703,0.000181703
137,3703.34,0.44556,0.61143,0.31001,0.82678,0.96393,0.84015,0.93195,0.84118,0.96393,0.84015,0.93039,0.84075,0.51002,0.76454,0.44669,0.84483,0.000170701,0.000170701,0.000170701
138,3728.71,0.4537,0.61666,0.31148,0.82368,0.9588,0.84387,0.92926,0.8457,0.9588,0.84387,0.92923,0.841,0.49299,0.75967,0.45895,0.83635,0.000159699,0.000159699,0.000159699
139,3752.41,0.47652,0.63097,0.31966,0.82727,0.94311,0.86277,0.92792,0.84206,0.94311,0.86277,0.93012,0.84214,0.492,0.76618,0.44273,0.83877,0.000148696,0.000148696,0.000148696
140,3775.84,0.45726,0.63376,0.31198,0.8234,0.95144,0.86989,0.9295,0.84198,0.9555,0.87361,0.93216,0.84167,0.49785,0.76354,0.43536,0.84209,0.000137694,0.000137694,0.000137694
141,3824.47,0.41051,0.58572,0.28766,0.80352,0.9521,0.84387,0.91544,0.82309,0.9521,0.84387,0.91572,0.82142,0.50472,0.78327,0.47393,0.84769,0.000126692,0.000126692,0.000126692
142,3853.07,0.41494,0.59645,0.28738,0.80847,0.93862,0.85874,0.92078,0.83312,0.94269,0.86245,0.92347,0.8324,0.50285,0.76049,0.4389,0.84856,0.00011569,0.00011569,0.00011569
143,3899,0.42073,0.63164,0.28627,0.80202,0.95024,0.8513,0.92591,0.84526,0.95024,0.8513,0.92553,0.83663,0.49526,0.73664,0.45145,0.83964,0.000104688,0.000104688,0.000104688
144,3947.63,0.41154,0.59391,0.28122,0.80207,0.93065,0.84811,0.92581,0.84392,0.93473,0.85183,0.92737,0.83455,0.48417,0.74165,0.48236,0.83897,9.36854e-05,9.36854e-05,9.36854e-05
145,3979.38,0.40225,0.56762,0.27241,0.79465,0.92786,0.86989,0.93217,0.84258,0.92786,0.86989,0.92966,0.83748,0.48704,0.74716,0.4502,0.84074,8.26832e-05,8.26832e-05,8.26832e-05
146,4015.36,0.39912,0.5624,0.27291,0.80034,0.93835,0.85874,0.93387,0.84632,0.93402,0.85502,0.92953,0.84128,0.48527,0.74561,0.45555,0.84147,7.1681e-05,7.1681e-05,7.1681e-05
147,4044.68,0.40033,0.56804,0.2659,0.79989,0.93883,0.86617,0.93248,0.84721,0.94286,0.86989,0.934,0.84185,0.4808,0.74353,0.45481,0.83688,6.06788e-05,6.06788e-05,6.06788e-05
148,4076.02,0.40243,0.58004,0.27181,0.79966,0.93507,0.86617,0.93084,0.84641,0.93927,0.86989,0.93346,0.84127,0.48495,0.74292,0.4382,0.84037,4.96766e-05,4.96766e-05,4.96766e-05
149,4105.36,0.40541,0.56749,0.268,0.79949,0.94075,0.86245,0.93088,0.84638,0.94075,0.86245,0.93015,0.84581,0.48075,0.74365,0.45271,0.83937,3.86744e-05,3.86744e-05,3.86744e-05
150,4136.46,0.3971,0.56433,0.26849,0.79925,0.94083,0.86989,0.93248,0.84541,0.94083,0.86989,0.93232,0.84119,0.47976,0.74467,0.45345,0.83632,2.76722e-05,2.76722e-05,2.76722e-05
