epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,671.889,1.14412,1.88768,1.80901,1.19352,0.68137,0.65009,0.6867,0.51967,0.67768,0.64559,0.67432,0.46888,0.96099,1.35462,1.63159,1.05286,0.000552058,0.000552058,0.000552058
2,1279.97,1.02757,1.43614,1.19873,1.10373,0.75914,0.71689,0.74878,0.53993,0.82792,0.67617,0.74046,0.49222,0.96638,1.32634,1.5567,1.05017,0.00109402,0.00109402,0.00109402
3,1965.72,0.99875,1.36295,1.10111,1.09463,0.84904,0.72832,0.79155,0.58345,0.86535,0.72288,0.77987,0.52905,0.9204,1.269,1.29074,1.03887,0.00162222,0.00162222,0.00162222
4,2658.85,0.99688,1.36143,1.04804,1.08998,0.81795,0.73619,0.81669,0.61409,0.84109,0.73821,0.81095,0.53457,0.89345,1.35581,1.47125,1.00874,0.00160511,0.00160511,0.00160511
5,3508.9,0.94567,1.27297,0.95933,1.06465,0.81036,0.75791,0.79406,0.59727,0.76234,0.78442,0.79194,0.54221,0.85762,1.12258,1.1321,1.01749,0.00158448,0.00158448,0.00158448
6,4081.72,0.90802,1.21717,0.92421,1.04553,0.85244,0.76972,0.83434,0.62098,0.83288,0.75456,0.80223,0.55926,0.88398,1.182,1.00751,1.00145,0.00156385,0.00156385,0.00156385
